GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,ACS_Population,White,Black,AIAN,Hispanic,ASIAN,Other,Percent_ACS_Population,Percent_White,Percent_Black,Percent_AIAN,Percent_Hispanic,Percent_Asian,Other_Percent
35001000107,Bernalillo,East Gateway,0.04,1,15,"2,737",0.00548045,2442,1784,76,126,453,3,0,81.45,73.05,3.11,5.16,18.55,0.12,0
35001000108,Bernalillo,Comanche Juan Tabo,0.07,2,43,"2,694",0.0159614,3216,1877,69,373,803,0,94,75.03,58.36,2.15,11.6,24.97,0,2.93
35001000109,Bernalillo,Comanche Juan Tabo,0.08,2,36,"2,568",0.01401869,2386,1560,63,185,532,14,32,77.7,65.38,2.64,7.75,22.3,0.59,1.35
35001000110,Bernalillo,Comanche Juan Tabo,0.23,4,63,"3,601",0.01749514,4003,2381,26,135,1340,10,111,66.53,59.48,0.65,3.37,33.47,0.25,2.77
35001000111,Bernalillo,Comanche Juan Tabo,0.05,1,32,"2,823",0.01133546,2966,1789,108,0,817,124,128,72.45,60.32,3.64,0,27.55,4.18,4.32
35001000112,Bernalillo,East Gateway,0.1,3,24,"2,095",0.01145585,1992,1425,45,0,483,20,19,75.75,71.54,2.26,0,24.25,1,0.95
35001000113,Bernalillo,Comanche Juan Tabo,0.2,4,25,"3,216",0.00777363,3660,2179,127,164,1067,28,95,70.85,59.54,3.47,4.48,29.15,0.77,2.6
35001000114,Bernalillo,Comanche Juan Tabo,0.2,3,48,"3,239",0.01481939,3020,1349,143,35,1385,55,53,54.14,44.67,4.74,1.16,45.86,1.82,1.76
35001000115,Bernalillo,Indian School Juan Tabo,0.23,4,46,"3,334",0.01379724,3406,1603,173,405,1142,30,53,66.47,47.06,5.08,11.89,33.53,0.88,1.55
35001000116,Bernalillo,Indian School Juan Tabo,0.05,2,32,"2,938",0.01089176,2881,1957,30,40,806,26,22,72.02,67.93,1.04,1.39,27.98,0.9,0.76
35001000117,Bernalillo,Montgomery Moon,0.16,3,31,"2,334",0.01328192,2547,1448,14,77,940,33,35,63.09,56.85,0.55,3.02,36.91,1.3,1.37
35001000118,Bernalillo,Montgomery Louisiana,0.12,3,41,"2,887",0.01420159,2313,1311,76,136,790,0,0,65.85,56.68,3.29,5.88,34.15,0,0
35001000119,Bernalillo,Montgomery Louisiana,0.08,2,17,"1,823",0.00932529,1887,1156,91,9,603,22,6,68.04,61.26,4.82,0.48,31.96,1.17,0.32
35001000120,Bernalillo,Montgomery Moon,0.26,4,47,"2,737",0.01717209,2991,1308,68,196,1271,113,35,57.51,43.73,2.27,6.55,42.49,3.78,1.17
35001000121,Bernalillo,Indian School Pennsylvania,0.16,3,113,"5,721",0.01975179,5489,3015,498,105,1449,172,250,73.6,54.93,9.07,1.91,26.4,3.13,4.55
35001000122,Bernalillo,Indian School Pennsylvania,0.13,3,57,"4,046",0.01408799,4535,2476,55,23,1715,199,67,62.18,54.6,1.21,0.51,37.82,4.39,1.48
35001000123,Bernalillo,Indian School Pennsylvania,0.11,3,79,"5,104",0.01547806,4403,2114,324,132,1747,23,63,60.32,48.01,7.36,3,39.68,0.52,1.43
35001000124,Bernalillo,Indian School Pennsylvania,0.16,3,90,"3,647",0.02467782,3956,1641,229,299,1618,7,162,59.1,41.48,5.79,7.56,40.9,0.18,4.1
35001000125,Bernalillo,East Gateway,0.04,1,43,"4,255",0.01010576,3841,2373,53,54,1031,273,57,73.16,61.78,1.38,1.41,26.84,7.11,1.48
35001000126,Bernalillo,Indian School Juan Tabo,0.13,3,32,"2,900",0.01103448,2531,1530,40,160,705,32,64,72.15,60.45,1.58,6.32,27.85,1.26,2.53
35001000127,Bernalillo,Indian School Juan Tabo,0.12,3,52,"2,839",0.01831631,2871,1549,1,279,950,13,79,66.91,53.95,0.03,9.72,33.09,0.45,2.76
35001000128,Bernalillo,Indian School Juan Tabo,0.26,4,44,"3,278",0.01342282,3432,1600,192,293,1095,164,88,68.09,46.62,5.59,8.54,31.91,4.78,2.56
35001000129,Bernalillo,Indian School Juan Tabo,0.16,3,68,"4,744",0.0143339,4067,1980,99,124,1495,262,107,63.24,48.68,2.43,3.05,36.76,6.44,2.63
35001000203,Bernalillo,Montgomery Louisiana,0.27,4,41,"1,988",0.02062374,1791,1026,39,124,553,22,27,69.12,57.29,2.18,6.92,30.88,1.23,1.51
35001000204,Bernalillo,Comanche Carlysle,0.11,3,52,"3,314",0.01569101,3013,1361,83,52,1389,68,60,53.9,45.17,2.75,1.73,46.1,2.26,1.99
35001000205,Bernalillo,Comanche Carlysle,0.22,4,65,"3,302",0.01968504,3355,1130,61,270,1790,51,53,46.65,33.68,1.82,8.05,53.35,1.52,1.58
35001000206,Bernalillo,Montgomery Louisiana,0.08,2,55,"2,994",0.01837007,2850,1457,112,40,1189,35,17,58.28,51.12,3.93,1.4,41.72,1.23,0.6
35001000207,Bernalillo,Indian School Pennsylvania,0.14,3,67,"3,407",0.0196654,2791,1390,65,19,1194,67,56,57.22,49.8,2.33,0.68,42.78,2.4,2.01
35001000208,Bernalillo,Comanche Carlysle,0.24,4,63,"2,796",0.02253219,3013,844,11,217,1898,0,43,37.01,28.01,0.37,7.2,62.99,0,1.43
35001000300,Bernalillo,Lomas Girard,0.18,3,69,"6,006",0.01148851,5882,3806,89,194,1414,164,215,75.96,64.71,1.51,3.3,24.04,2.79,3.66
35001000401,Bernalillo,Lomas San Mateo,0.13,3,56,"4,430",0.01264108,4285,2456,0,148,1194,376,111,72.14,57.32,0,3.45,27.86,8.77,2.59
35001000402,Bernalillo,Lomas San Mateo,0.12,3,38,"3,450",0.01101449,3565,2327,35,3,947,128,125,73.44,65.27,0.98,0.08,26.56,3.59,3.51
35001000501,Bernalillo,Lomas San Mateo,0.32,5,104,"2,613",0.039801,3080,1045,82,324,1521,33,75,50.62,33.93,2.66,10.52,49.38,1.07,2.44
35001000502,Bernalillo,Lomas San Mateo,0.26,4,76,"4,734",0.01605408,4747,2845,115,210,1224,101,252,74.22,59.93,2.42,4.42,25.78,2.13,5.31
35001000601,Bernalillo,Indian School Pennsylvania,0.17,3,86,"3,857",0.02229712,4009,1996,39,109,1667,132,66,58.42,49.79,0.97,2.72,41.58,3.29,1.65
35001000603,Bernalillo,Central Penn,0.47,6,203,"5,380",0.03773234,4638,895,229,444,3048,22,0,34.28,19.3,4.94,9.57,65.72,0.47,0
35001000604,Bernalillo,,0.26,4,309,"4,371",0.07069321,3885,919,92,245,2452,59,118,36.89,23.66,2.37,6.31,63.11,1.52,3.04
35001000704,Bernalillo,Central Tabo,0.17,3,73,"3,769",0.01936853,3362,1568,45,85,1574,64,26,53.18,46.64,1.34,2.53,46.82,1.9,0.77
35001000707,Bernalillo,Central Tabo,0.32,5,242,"6,326",0.03825482,6374,1419,198,106,4557,0,94,28.51,22.26,3.11,1.66,71.49,0,1.48
35001000708,Bernalillo,Central Tabo,0.25,4,193,"6,247",0.03089483,6327,2432,405,236,2942,82,230,53.5,38.44,6.4,3.73,46.5,1.3,3.64
35001000710,Bernalillo,East Gateway,0.07,2,91,"6,041",0.01506373,7403,3863,243,0,2588,487,222,65.04,52.18,3.28,0,34.96,6.58,3
35001000711,Bernalillo,East Gateway,0.17,3,52,"4,491",0.01157871,4793,2864,99,241,1387,85,117,71.06,59.75,2.07,5.03,28.94,1.77,2.44
35001000712,Bernalillo,Central Tabo,0.16,3,86,"4,329",0.01986602,4187,2017,129,355,1549,54,83,63,48.17,3.08,8.48,37,1.29,1.98
35001000713,Bernalillo,Central Tabo,0.36,5,133,"6,162",0.0215839,5649,2089,231,604,2110,84,531,62.65,36.98,4.09,10.69,37.35,1.49,9.4
35001000714,Bernalillo,Central Tabo,0.08,2,122,"4,784",0.02550167,5002,1690,112,617,1508,883,192,69.85,33.79,2.24,12.34,30.15,17.65,3.84
35001000801,Military Bases,,0.04,1,42,"4,125",0.01018182,4015,2801,292,8,550,85,279,86.3,69.76,7.27,0.2,13.7,2.12,6.95
35001000901,Bernalillo,Central Penn,0.52,6,279,"7,787",0.03582895,7198,1269,230,837,4623,68,171,35.77,17.63,3.2,11.63,64.23,0.94,2.37
35001000903,Bernalillo,Central Penn,0.44,6,140,"6,165",0.02270884,5540,1944,413,881,2166,61,75,60.9,35.09,7.45,15.9,39.1,1.1,1.35
35001000904,Bernalillo,Central Penn,0.27,4,100,"4,380",0.02283105,4287,1509,83,106,2369,132,88,44.74,35.2,1.94,2.47,55.26,3.08,2.06
35001001101,Bernalillo,Lomas San Mateo,0.13,3,58,"5,186",0.01118396,4571,2448,73,89,1660,143,158,63.68,53.56,1.6,1.95,36.32,3.13,3.45
35001001102,Bernalillo,Gibson University,0.27,4,51,"3,210",0.01588785,3024,1348,160,98,1394,11,13,53.9,44.58,5.29,3.24,46.1,0.36,0.43
35001001200,Bernalillo,Gibson University,0.3,5,301,"7,414",0.04059887,6909,1735,595,252,3730,398,199,46.01,25.11,8.61,3.65,53.99,5.76,2.88
35001001300,Bernalillo,Rio Bravo Second,0.35,5,151,"4,742",0.0318431,4068,194,94,220,3490,0,70,14.21,4.77,2.31,5.41,85.79,0,1.72
35001001400,Bernalillo,Lomas Broadway,0.35,5,74,"3,223",0.02295998,2790,435,117,44,2156,0,38,22.72,15.59,4.19,1.58,77.28,0,1.36
35001001500,Bernalillo,Lomas Broadway,0.23,4,61,"2,708",0.02252585,2124,816,46,7,1155,72,28,45.62,38.42,2.17,0.33,54.38,3.39,1.32
35001001600,Bernalillo,Gibson University,0.31,5,34,"2,571",0.01322443,2447,1108,30,228,773,138,170,68.41,45.28,1.23,9.32,31.59,5.64,6.94
35001001700,Bernalillo,Lomas Girard,0.29,4,42,"5,011",0.00838156,4494,3155,0,68,1084,80,107,75.88,70.2,0,1.51,24.12,1.78,2.38
35001001800,Bernalillo,Lomas Girard,0.46,6,35,"2,897",0.01208146,2070,771,52,150,797,197,103,61.5,37.25,2.51,7.25,38.5,9.52,4.97
35001001900,Bernalillo,Lomas Girard,0.12,3,13,"1,052",0.01235741,982,575,34,37,276,33,27,71.89,58.55,3.46,3.77,28.11,3.36,2.75
35001002000,Bernalillo,Lomas Broadway,0.38,5,60,"2,348",0.02555366,2272,561,32,177,1321,120,61,41.86,24.69,1.41,7.79,58.14,5.28,2.68
35001002100,Bernalillo,Lomas Broadway,0.39,5,52,"1,864",0.027897,1468,480,106,136,701,8,37,52.25,32.7,7.22,9.26,47.75,0.54,2.52
35001002200,Bernalillo,Lomas Broadway,0.18,3,49,"3,304",0.01483051,3068,1382,54,180,1257,53,142,59.03,45.05,1.76,5.87,40.97,1.73,4.63
35001002300,Bernalillo,Central Coors,0.25,4,297,"9,085",0.03269125,9017,750,21,16,8211,0,19,8.94,8.32,0.23,0.18,91.06,0,0.21
35001002401,Bernalillo,Central Coors,0.15,3,167,"5,341",0.03126755,5270,788,108,91,4216,7,60,20,14.95,2.05,1.73,80,0.13,1.14
35001002402,Bernalillo,Central Coors,0.37,5,298,"8,479",0.03514565,7739,407,286,391,6570,0,85,15.11,5.26,3.7,5.05,84.89,0,1.1
35001002500,Bernalillo,Lomas Broadway,0.36,5,58,"2,419",0.02397685,3020,806,66,0,2121,13,14,29.77,26.69,2.19,0,70.23,0.43,0.46
35001002600,Bernalillo,Lomas Broadway,0.24,4,17,"1,039",0.01636189,1047,431,7,60,536,0,13,48.81,41.17,0.67,5.73,51.19,0,1.24
35001002700,Bernalillo,Lomas Broadway,0.23,4,101,"3,645",0.02770919,4160,1483,56,124,2423,11,63,41.75,35.65,1.35,2.98,58.25,0.26,1.51
35001002900,Bernalillo,Candelaria Second,0.2,4,148,"4,038",0.03665181,4380,1298,33,234,2773,33,9,36.69,29.63,0.75,5.34,63.31,0.75,0.21
35001003001,Bernalillo,Candelaria Second,0.19,3,64,"4,951",0.01292668,5008,1609,9,96,3219,0,75,35.72,32.13,0.18,1.92,64.28,0,1.5
35001003002,Bernalillo,Montano Rio Grande,0.18,3,45,"4,161",0.01081471,4391,1634,28,14,2657,22,36,39.49,37.21,0.64,0.32,60.51,0.5,0.82
35001003100,Bernalillo,Montano Rio Grande,0.12,3,33,"2,913",0.01132853,2699,1705,0,47,920,13,14,65.91,63.17,0,1.74,34.09,0.48,0.52
35001003201,Bernalillo,Candelaria Second,0.19,3,57,"2,941",0.01938116,2603,679,35,16,1798,41,34,30.93,26.09,1.34,0.61,69.07,1.58,1.31
35001003202,Bernalillo,Candelaria Second,0.2,4,111,"5,478",0.02026287,5043,1046,0,197,3689,12,99,26.85,20.74,0,3.91,73.15,0.24,1.97
35001003400,Bernalillo,Comanche Carlysle,0.41,6,243,"4,670",0.05203426,4343,981,239,394,2701,6,22,37.81,22.59,5.5,9.07,62.19,0.14,0.5
35001003501,Bernalillo,Alameda Edith,0.13,3,97,"5,669",0.0171106,6153,2047,57,11,3832,0,206,37.72,33.27,0.93,0.18,62.28,0,3.35
