Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35001000107,Bernalillo,East Gateway    ,0.04,1,15,"2,737",0.005480453
35001000108,Bernalillo,Comanche Juan Tabo   ,0.07,2,43,"2,694",0.015961396
35001000109,Bernalillo,Comanche Juan Tabo   ,0.08,2,36,"2,568",0.014018692
35001000110,Bernalillo,Comanche Juan Tabo   ,0.23,4,63,"3,601",0.01749514
35001000111,Bernalillo,Comanche Juan Tabo   ,0.05,1,32,"2,823",0.011335459
35001000112,Bernalillo,East Gateway    ,0.1,3,24,"2,095",0.011455847
35001000113,Bernalillo,Comanche Juan Tabo   ,0.2,4,25,"3,216",0.007773632
35001000114,Bernalillo,Comanche Juan Tabo   ,0.2,3,48,"3,239",0.014819389
35001000115,Bernalillo,Indian School Juan Tabo  ,0.23,4,46,"3,334",0.013797241
35001000116,Bernalillo,Indian School Juan Tabo  ,0.05,2,32,"2,938",0.010891763
35001000117,Bernalillo,Montgomery Moon    ,0.16,3,31,"2,334",0.013281919
35001000118,Bernalillo,Montgomery Louisiana    ,0.12,3,41,"2,887",0.014201593
35001000119,Bernalillo,Montgomery Louisiana    ,0.08,2,17,"1,823",0.009325288
35001000120,Bernalillo,Montgomery Moon    ,0.26,4,47,"2,737",0.017172086
35001000121,Bernalillo,Indian School Pennsylvania   ,0.16,3,113,"5,721",0.019751792
35001000122,Bernalillo,Indian School Pennsylvania   ,0.13,3,57,"4,046",0.014087988
35001000123,Bernalillo,Indian School Pennsylvania   ,0.11,3,79,"5,104",0.015478056
35001000124,Bernalillo,Indian School Pennsylvania   ,0.16,3,90,"3,647",0.024677817
35001000125,Bernalillo,East Gateway    ,0.04,1,43,"4,255",0.010105758
35001000126,Bernalillo,Indian School Juan Tabo  ,0.13,3,32,"2,900",0.011034483
35001000127,Bernalillo,Indian School Juan Tabo  ,0.12,3,52,"2,839",0.018316309
35001000128,Bernalillo,Indian School Juan Tabo  ,0.26,4,44,"3,278",0.013422819
35001000129,Bernalillo,Indian School Juan Tabo  ,0.16,3,68,"4,744",0.014333895
35001000203,Bernalillo,Montgomery Louisiana    ,0.27,4,41,"1,988",0.020623742
35001000204,Bernalillo,Comanche Carlysle    ,0.11,3,52,"3,314",0.015691008
35001000205,Bernalillo,Comanche Carlysle    ,0.22,4,65,"3,302",0.019685039
35001000206,Bernalillo,Montgomery Louisiana    ,0.08,2,55,"2,994",0.018370073
35001000207,Bernalillo,Indian School Pennsylvania   ,0.14,3,67,"3,407",0.019665395
35001000208,Bernalillo,Comanche Carlysle    ,0.24,4,63,"2,796",0.022532189
35001000300,Bernalillo,Lomas Girard    ,0.18,3,69,"6,006",0.011488511
35001000401,Bernalillo,Lomas San Mateo   ,0.13,3,56,"4,430",0.012641084
35001000402,Bernalillo,Lomas San Mateo   ,0.12,3,38,"3,450",0.011014493
35001000501,Bernalillo,Lomas San Mateo   ,0.32,5,104,"2,613",0.039800995
35001000502,Bernalillo,Lomas San Mateo   ,0.26,4,76,"4,734",0.016054077
35001000601,Bernalillo,Indian School Pennsylvania   ,0.17,3,86,"3,857",0.022297122
35001000603,Bernalillo,Central Penn    ,0.47,6,203,"5,380",0.037732342
35001000604,Bernalillo,Central Penn    ,0.26,4,309,"4,371",0.070693205
35001000704,Bernalillo,Central Tabo    ,0.17,3,73,"3,769",0.019368533
35001000707,Bernalillo,Central Tabo    ,0.32,5,242,"6,326",0.038254821
35001000708,Bernalillo,Central Tabo    ,0.25,4,193,"6,247",0.03089483
35001000710,Bernalillo,East Gateway    ,0.07,2,91,"6,041",0.015063731
35001000711,Bernalillo,East Gateway    ,0.17,3,52,"4,491",0.011578713
35001000712,Bernalillo,Central Tabo    ,0.16,3,86,"4,329",0.01986602
35001000713,Bernalillo,Central Tabo    ,0.36,5,133,"6,162",0.021583901
35001000714,Bernalillo,Central Tabo    ,0.08,2,122,"4,784",0.025501672
35001000801,Military,     ,0.04,1,42,"4,125",0.010181818
35001000901,Bernalillo,Central Penn    ,0.52,6,279,"7,787",0.035828946
35001000903,Bernalillo,Central Penn    ,0.44,6,140,"6,165",0.02270884
35001000904,Bernalillo,Central Penn    ,0.27,4,100,"4,380",0.02283105
35001001101,Bernalillo,Lomas San Mateo   ,0.13,3,58,"5,186",0.011183957
35001001102,Bernalillo,Gibson University    ,0.27,4,51,"3,210",0.01588785
35001001200,Bernalillo,Gibson University    ,0.3,5,301,"7,414",0.040598867
35001001300,Bernalillo,Rio Bravo Second   ,0.35,5,151,"4,742",0.031843104
35001001400,Bernalillo,Lomas Broadway    ,0.35,5,74,"3,223",0.022959975
35001001500,Bernalillo,Lomas Broadway    ,0.23,4,61,"2,708",0.022525849
35001001600,Bernalillo,Gibson University    ,0.31,5,34,"2,571",0.013224426
35001001700,Bernalillo,Lomas Girard    ,0.29,4,42,"5,011",0.008381561
35001001800,Bernalillo,Lomas Girard    ,0.46,6,35,"2,897",0.012081464
35001001900,Bernalillo,Lomas Girard    ,0.12,3,13,"1,052",0.012357414
35001002000,Bernalillo,Lomas Broadway    ,0.38,5,60,"2,348",0.025553663
35001002100,Bernalillo,Lomas Broadway    ,0.39,5,52,"1,864",0.027896996
35001002200,Bernalillo,Lomas Broadway    ,0.18,3,49,"3,304",0.014830508
35001002300,Bernalillo,Central Coors    ,0.25,4,297,"9,085",0.032691249
35001002401,Bernalillo,Central Coors    ,0.15,3,167,"5,341",0.031267553
35001002402,Bernalillo,Central Coors    ,0.37,5,298,"8,479",0.035145654
35001002500,Bernalillo,Lomas Broadway    ,0.36,5,58,"2,419",0.02397685
35001002600,Bernalillo,Lomas Broadway    ,0.24,4,17,"1,039",0.016361886
35001002700,Bernalillo,Lomas Broadway    ,0.23,4,101,"3,645",0.027709191
35001002900,Bernalillo,Candelaria Second    ,0.2,4,148,"4,038",0.036651808
35001003001,Bernalillo,Candelaria Second    ,0.19,3,64,"4,951",0.012926681
35001003002,Bernalillo,Montano Rio Grande   ,0.18,3,45,"4,161",0.010814708
35001003100,Bernalillo,Montano Rio Grande   ,0.12,3,33,"2,913",0.011328527
35001003201,Bernalillo,Candelaria Second    ,0.19,3,57,"2,941",0.019381163
35001003202,Bernalillo,Candelaria Second    ,0.2,4,111,"5,478",0.02026287
35001003400,Bernalillo,Comanche Carlysle    ,0.41,6,243,"4,670",0.052034261
35001003501,Bernalillo,Alameda Edith    ,0.13,3,97,"5,669",0.017110602
35001003502,Bernalillo,Montano Rio Grande   ,0.09,2,59,"5,244",0.011250953
35001003600,Bernalillo,Alameda Edith    ,0.11,3,132,"6,206",0.021269739
35001003707,Bernalillo,Montgomery Louisiana    ,0.13,3,92,"5,087",0.018085316
35001003712,Bernalillo,Paseo Ventura    ,0.17,3,129,"5,084",0.025373721
35001003714,Bernalillo,Montgomery Louisiana    ,0.22,4,126,"7,176",0.017558528
35001003715,Bernalillo,Paseo Ventura    ,0.04,1,73,"4,244",0.017200754
35001003717,Bernalillo,Montgomery Moon    ,0.11,3,80,"5,415",0.014773777
35001003718,Bernalillo,Montgomery Moon    ,0.1,2,35,"2,472",0.014158576
35001003719,Bernalillo,Academy Tramway    ,0.15,3,111,"5,162",0.021503293
35001003721,Bernalillo,Academy Tramway    ,0.02,1,48,"6,320",0.007594937
35001003722,Bernalillo,Paseo Louisiana    ,0.12,3,114,"6,485",0.017579029
